row_index,condition,pair,pair_id,pair_first_seen_row,subject_id,trial_index,first_image,second_image,correct,correct_from_acc,n_fix,image_ok_second
807,peripheral,586e715638b04dc3a559c4ccc9b8abfa__609dc852d3214d75a3620ce4f02b0c9f,5,15,BR014,16,609dc852d3214d75a3620ce4f02b0c9f.jpg,586e715638b04dc3a559c4ccc9b8abfa.jpg,True,True,19,
808,full,63e76187253f4a9f939f82e895fd5179__85ff0af221644b2db46d29632a358004,9,16,BR014,17,85ff0af221644b2db46d29632a358004.jpg,63e76187253f4a9f939f82e895fd5179.jpg,True,True,20,
809,central,19fdd1aaa7244cc696ea94f64d80469d__57f6a02ebfaa4340af2adf4d066b0a6f,4,17,BR014,18,19fdd1aaa7244cc696ea94f64d80469d.jpg,57f6a02ebfaa4340af2adf4d066b0a6f.jpg,False,False,20,
810,central,53b27750ff6b49b6bbcfbc312f8e5550__8f6a40194ecd4bdf9275a6c852de91a6,5,18,BR014,19,53b27750ff6b49b6bbcfbc312f8e5550.jpg,8f6a40194ecd4bdf9275a6c852de91a6.jpg,True,True,16,
811,full,002fac9e85104f41a7843820e9e87ee3__30e447f9321a4c74880915cc77f54950,10,19,BR014,20,002fac9e85104f41a7843820e9e87ee3.jpg,30e447f9321a4c74880915cc77f54950.jpg,False,False,18,
812,peripheral,0c5a770e3f57463f84a9897407744692__6f50c2b038564cd19a0873bf396f1549,6,20,BR014,21,6f50c2b038564cd19a0873bf396f1549.jpg,0c5a770e3f57463f84a9897407744692.jpg,True,True,21,
813,central,14c8f9858abc47e5b9a2f1e9c3ac2873__3e5475b4d63c4c01b7558818565a0784,6,21,BR014,22,14c8f9858abc47e5b9a2f1e9c3ac2873.jpg,3e5475b4d63c4c01b7558818565a0784.jpg,False,False,22,
814,central,f62a9d89afec4d79992d7ebe886b28f6__f87e2a1fb05f440aa7f9746eec6c6289,7,22,BR014,23,f87e2a1fb05f440aa7f9746eec6c6289.jpg,f62a9d89afec4d79992d7ebe886b28f6.jpg,True,True,25,
815,central,70f5a78a800c4d20b1b165a0b9ee4199__74dc89c8de294e968df1fb3942338d1d,8,23,BR014,24,74dc89c8de294e968df1fb3942338d1d.jpg,70f5a78a800c4d20b1b165a0b9ee4199.jpg,True,True,20,
816,full,3c5319f397d94ec7aafaf2c06ef19a84__777bd2d5894e4d05848bfe271c70348a,11,24,BR014,25,3c5319f397d94ec7aafaf2c06ef19a84.jpg,777bd2d5894e4d05848bfe271c70348a.jpg,True,True,23,
817,peripheral,b198dffa9f9f4b93adafd24c1e4393a6__b5350d028ab8412c913e07306b132aba,7,25,BR014,26,b5350d028ab8412c913e07306b132aba.jpg,b198dffa9f9f4b93adafd24c1e4393a6.jpg,True,True,25,
818,central,ce79ad2e750c46c3b2495c431fa63932__d2e3309962c645d1876005afbfc4d2ab,9,26,BR014,27,d2e3309962c645d1876005afbfc4d2ab.jpg,ce79ad2e750c46c3b2495c431fa63932.jpg,True,True,23,
